refno,aquifer,wb_ft,rock_top_ft
419729,Bedrock,3,20
176072,Bedrock,23,24
336185,Bedrock,36,36
305211,Bedrock,52,52
42934,Bedrock,21,25
329651,Bedrock,30,123
276332,Bedrock,38,38
347933,Bedrock,47,47
350758,Bedrock,22,22
22239,Bedrock,26,28
238402,Bedrock,10,50
23165,Bedrock,21,21
189817,Bedrock,34,64
175380,Bedrock,35,168
175375,Bedrock,5,106
305845,Bedrock,48,48
347934,Bedrock,58,58
175578,Bedrock,9,14
182239,Bedrock,6,
321541,Bedrock,30,30
321565,Bedrock,41,41
377513,Bedrock,27,69
230760,Bedrock,5,104
54132,Bedrock,10,
279862,Bedrock,18,40
286452,Bedrock,30,30
316850,Bedrock,15,27
201611,Bedrock,50,155
336188,Bedrock,36,36
336156,Bedrock,26,26
377046,Bedrock,24,40
159275,Bedrock,26,38
159273,Bedrock,4,38
86270,Bedrock,12,57
350187,Bedrock,52,52
325208,Bedrock,16,21
175733,Bedrock,30,
159312,Bedrock,10,10
316859,Bedrock,18,160
145526,Bedrock,2,28
321561,Bedrock,70,
145534,Bedrock,11,26
347545,Bedrock,5,
48876,Bedrock,8,23
72098,Bedrock,29,29
361346,Bedrock,47,62
54082,Bedrock,15,42
175797,Bedrock,2,58
54100,Bedrock,121,121
350177,Bedrock,42,42
180254,Bedrock,96,226
214304,Bedrock,28,100
47674,Bedrock,9,
274748,Bedrock,28,150
72127,Bedrock,59,
64917,Bedrock,91,
175822,Bedrock,12,
286506,Bedrock,82,82
247759,Bedrock,13,
270164,Bedrock,2,68
321554,Bedrock,103,103
321556,Bedrock,20,20
175316,Bedrock,2,129
175321,Bedrock,5,
177941,Bedrock,1,26
48830,Bedrock,21,53
347535,Bedrock,12,185
347957,Bedrock,47,47
347958,Bedrock,56,56
174838,Bedrock,54,123
329656,Bedrock,56,56
283701,Bedrock,17,181
325223,Bedrock,54,54
226947,Bedrock,86,86
305243,Bedrock,37,75
352162,Bedrock,23,34
53989,Bedrock,77,217
279918,Bedrock,15,59
321460,Bedrock,31,
325222,Bedrock,76,76
180040,Bedrock,93,
58836,Bedrock,2,
321573,Bedrock,56,56
366494,Bedrock,62,62
173948,Bedrock,45,135
179975,Bedrock,88,
161178,Bedrock,12,56
188613,Bedrock,39,39
172124,Bedrock,52,80
171249,Bedrock,59,73
161635,Bedrock,1,125
165939,Bedrock,4,53
348816,Bedrock,12,80
355600,Bedrock,38,
166435,Bedrock,15,
369269,Bedrock,42,
145540,Bedrock,26,6
54616,Bedrock,11,
357538,Bedrock,60,93
64918,Bedrock,70,
305236,Bedrock,44,34
166460,Bedrock,26,95
63791,Bedrock,94,
166278,Bedrock,2,140
321568,Bedrock,36,89
303595,Bedrock,16,
47731,Bedrock,63,
377092,Bedrock,30,37
327431,Bedrock,7,
160176,Bedrock,8,
63694,Bedrock,6,
276355,Bedrock,26,26
227811,Bedrock,11,11
286512,Bedrock,53,57
226710,Bedrock,9,23
283887,Bedrock,13,44
305836,Bedrock,176,176
170901,Bedrock,10,89
350172,Bedrock,59,59
48911,Bedrock,21,
167579,Bedrock,1,
321598,Bedrock,95,109
268867,Bedrock,16,
316423,Bedrock,10,
415353,Bedrock,13,35
240556,Bedrock,5,
161639,Bedrock,72,
62161,Bedrock,16,
