refno,aquifer,v1_wb_ft,v2_uncon_ft,v2_rock_top_ft
175733,Bedrock,30,,20
145526,Bedrock,2,,28
347545,Bedrock,5,,42
48876,Bedrock,8,,23
175797,Bedrock,2,,58
270164,Bedrock,2,,68
175316,Bedrock,2,,68
175321,Bedrock,5,,20
177941,Bedrock,1,,9
174838,Bedrock,54,,22
58836,Bedrock,2,,194
161635,Bedrock,1,,125
165939,Bedrock,4,,53
166435,Bedrock,15,,18
145540,Bedrock,26,,6
166460,Bedrock,26,,18
166278,Bedrock,2,,85
327431,Bedrock,7,,131
63694,Bedrock,6,,152
283887,Bedrock,13,,44
167579,Bedrock,1,,198
240556,Bedrock,5,,208
166393,Bedrock,14,,61
62162,Bedrock,2,,185
305178,Bedrock,3,,139
276078,Bedrock,13,,19
176505,Bedrock,2,,26
172961,Bedrock,7,,35
161658,Bedrock,2,,27
356138,Bedrock,1,,133
247824,Bedrock,6,,131
163968,Bedrock,1,,10
164021,Bedrock,17,,95
48775,Bedrock,12,,202
162874,Bedrock,3,,89
163978,Bedrock,3,,15
356665,Bedrock,7,,96
47833,Bedrock,6,,133
71780,Bedrock,4,,7
239531,Bedrock,2,,130
164067,Bedrock,2,,15
162565,Bedrock,6,,57
66883,Bedrock,1,,195
275127,Bedrock,5,,219
239568,Bedrock,4,,101
239598,Bedrock,3,,91
239589,Bedrock,1,,80
157977,Bedrock,160,,160
263570,Bedrock,140,,140
296028,Bedrock,2,,89
369663,Bedrock,2,,165
162579,Bedrock,3,,114
47772,Bedrock,18,,112
82169,Bedrock,2,,102
159740,Bedrock,7,,42
52096,Bedrock,2,,42
162678,Bedrock,5,,56
158393,Bedrock,2,,75
156620,Bedrock,5,,102
163305,Bedrock,3,,128
157752,Bedrock,5,,219
370617,Bedrock,3,,111
154127,Bedrock,6,,152
150755,Bedrock,2,,136
152589,Bedrock,2,,3
335748,Bedrock,4,,147
266735,Bedrock,3,,103
170470,Bedrock,3,,45
278881,Bedrock,6,,50
268639,Bedrock,3,,55
153681,Bedrock,11,,96
148222,Bedrock,3,,80
153803,Bedrock,4,,35
2429,Bedrock,4,,25
149559,Bedrock,7,,20
298763,Bedrock,2,,98
153595,Bedrock,10,,20
360222,Bedrock,3,,106
150643,Bedrock,20,,279
27815,Bedrock,18,,56
72765,Bedrock,6,,70
27817,Bedrock,7,,48
329602,Bedrock,6,,35
117541,Bedrock,7,,70
373225,Bedrock,5,,44
327340,Bedrock,5,,45
